Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Sex Code,Year,"Youth literacy rate in percent of persons aged 15-24 years, by sex",Nature of the Data Code,Reporting Type Code
180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,F,2022,85.41,E,G
180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,M,2022,90.79,E,G
180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,_T,2022,88.1,E,G
170,Colombia,COL,-73.0744705200195,3.88820910453796,Latin America and the Caribbean,F,2021,99.34,C,G
170,Colombia,COL,-73.0744705200195,3.88820910453796,Latin America and the Caribbean,M,2021,98.75,C,G
170,Colombia,COL,-73.0744705200195,3.88820910453796,Latin America and the Caribbean,_T,2021,99.05,C,G
174,Comoros,COM,43.3423461914063,-11.6612176895142,Sub-Saharan Africa,F,2022,83.1,E,G
174,Comoros,COM,43.3423461914063,-11.6612176895142,Sub-Saharan Africa,M,2022,80.95,E,G
174,Comoros,COM,43.3423461914063,-11.6612176895142,Sub-Saharan Africa,_T,2022,82.02,E,G
132,Cabo Verde,CPV,-23.635440826416,15.0779180526733,Sub-Saharan Africa,F,2022,99.25,E,G
132,Cabo Verde,CPV,-23.635440826416,15.0779180526733,Sub-Saharan Africa,M,2022,98.25,E,G
132,Cabo Verde,CPV,-23.635440826416,15.0779180526733,Sub-Saharan Africa,_T,2022,98.74,E,G
188,Costa Rica,CRI,-84.1971282958984,9.97099876403809,Latin America and the Caribbean,F,2021,99.61,E,G
188,Costa Rica,CRI,-84.1971282958984,9.97099876403809,Latin America and the Caribbean,M,2021,99.46,E,G
188,Costa Rica,CRI,-84.1971282958984,9.97099876403809,Latin America and the Caribbean,_T,2021,99.53,E,G
192,Cuba,CUB,-79.5446014404297,22.1003036499023,Latin America and the Caribbean,F,2021,99.9,E,G
192,Cuba,CUB,-79.5446014404297,22.1003036499023,Latin America and the Caribbean,M,2021,99.86,E,G
192,Cuba,CUB,-79.5446014404297,22.1003036499023,Latin America and the Caribbean,_T,2021,99.87,E,G
214,Dominican Republic,DOM,-70.4984741210938,18.8983211517334,Latin America and the Caribbean,F,2022,98.79,E,G
214,Dominican Republic,DOM,-70.4984741210938,18.8983211517334,Latin America and the Caribbean,M,2022,99.18,E,G
214,Dominican Republic,DOM,-70.4984741210938,18.8983211517334,Latin America and the Caribbean,_T,2022,98.99,E,G
218,Ecuador,ECU,-78.3700561523438,-1.4477858543396,Latin America and the Caribbean,F,2022,99.24,C,G
218,Ecuador,ECU,-78.3700561523438,-1.4477858543396,Latin America and the Caribbean,M,2022,99.03,C,G
218,Ecuador,ECU,-78.3700561523438,-1.4477858543396,Latin America and the Caribbean,_T,2022,99.13,C,G
818,Egypt,EGY,29.7746849060059,26.5743827819824,Northern Africa and Western Asia,F,2022,91.74,E,G
818,Egypt,EGY,29.7746849060059,26.5743827819824,Northern Africa and Western Asia,M,2022,92.72,E,G
818,Egypt,EGY,29.7746849060059,26.5743827819824,Northern Africa and Western Asia,_T,2022,92.24,E,G
233,Estonia,EST,25.840934753418,58.684871673584,Europe and Northern America,F,2021,99.99,E,G
233,Estonia,EST,25.840934753418,58.684871673584,Europe and Northern America,M,2021,99.98,E,G
233,Estonia,EST,25.840934753418,58.684871673584,Europe and Northern America,_T,2021,99.99,E,G
231,Ethiopia,ETH,39.6350517272949,8.63122272491455,Sub-Saharan Africa,F,2017,71.97,E,G
231,Ethiopia,ETH,39.6350517272949,8.63122272491455,Sub-Saharan Africa,M,2017,73.52,E,G
231,Ethiopia,ETH,39.6350517272949,8.63122272491455,Sub-Saharan Africa,_T,2017,72.75,E,G
266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,F,2022,92.63,E,G
266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,M,2022,88.66,E,G
