Geogrpahic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,2018,F,15 to 49 years old,11.2,6.0,20.2,E
108,Burundi,BDI,29.8908100128174,-3.36638736724854,Sub-Saharan Africa,2018,F,15 to 49 years old,22.1,13.1,35.1,E
132,Cabo Verde,CPV,-23.635440826416,15.0779180526733,Sub-Saharan Africa,2018,F,15 to 49 years old,10.9,6.4,17.9,E
116,Cambodia,KHM,104.922836303711,12.7116374969482,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.1,6.0,14.0,E
120,Cameroon,CMR,12.741982460022,5.69238710403442,Sub-Saharan Africa,2018,F,15 to 49 years old,22.0,14.6,31.8,E
124,Canada,CAN,-101.657508850098,57.7236022949219,Europe and Northern America,2018,F,15 to 49 years old,2.6,1.6,4.3,E
140,Central African Republic,CAF,20.9355945587158,7.00372076034546,Sub-Saharan Africa,2018,F,15 to 49 years old,20.9,11.6,34.6,E
148,Chad,TCD,18.6661834716797,15.36279296875,Sub-Saharan Africa,2018,F,15 to 49 years old,16.2,9.2,27.0,E
152,Chile,CHL,-71.2302932739258,-35.2652893066406,Latin America and the Caribbean,2018,F,15 to 49 years old,5.8,3.4,9.8,E
156,China,CHN,104.140335083008,32.3095512390137,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,7.6,3.0,17.7,E
344,"China, Hong Kong SAR",HKG,114.026641845703,22.4174995422363,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,2.5,1.2,5.4,E
170,Colombia,COL,-73.0744705200195,3.88820910453796,Latin America and the Caribbean,2018,F,15 to 49 years old,11.9,6.3,21.1,E
174,Comoros,COM,43.3423461914063,-11.6612176895142,Sub-Saharan Africa,2018,F,15 to 49 years old,8.2,4.0,15.7,E
184,Cook Islands,COK,-159.771133422852,-21.2269649505615,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,13.7,6.9,25.4,E
188,Costa Rica,CRI,-84.1971282958984,9.97099876403809,Latin America and the Caribbean,2018,F,15 to 49 years old,7.2,3.6,13.9,E
384,Côte d'Ivoire,CIV,-5.55269002914429,7.62211608886719,Sub-Saharan Africa,2018,F,15 to 49 years old,16.4,9.1,27.7,E
191,Croatia,HRV,17.9587459564209,45.4517211914063,Europe and Northern America,2018,F,15 to 49 years old,4.0,1.9,8.3,E
192,Cuba,CUB,-79.5446014404297,22.1003036499023,Latin America and the Caribbean,2018,F,15 to 49 years old,4.6,2.3,9.1,E
196,Cyprus,CYP,33.2228584289551,35.0565948486328,Northern Africa and Western Asia,2018,F,15 to 49 years old,3.1,1.5,6.4,E
203,Czechia,CZE,15.3315134048462,49.7391395568848,Europe and Northern America,2018,F,15 to 49 years old,4.1,2.4,6.8,E
180,Dem. Rep. of the Congo,COD,23.6549644470215,-2.87715482711792,Sub-Saharan Africa,2018,F,15 to 49 years old,35.6,23.3,49.7,E
208,Denmark,DNK,9.32657146453857,56.0382957458496,Europe and Northern America,2018,F,15 to 49 years old,3.3,2.0,5.4,E
214,Dominican Republic,DOM,-70.4984741210938,18.8983211517334,Latin America and the Caribbean,2018,F,15 to 49 years old,9.6,6.0,15.0,E
218,Ecuador,ECU,-78.3700561523438,-1.4477858543396,Latin America and the Caribbean,2018,F,15 to 49 years old,8.1,4.7,13.8,E
818,Egypt,EGY,29.7746849060059,26.5743827819824,Northern Africa and Western Asia,2018,F,15 to 49 years old,15.1,9.9,22.6,E
222,El Salvador,SLV,-88.8686294555664,13.7360353469849,Latin America and the Caribbean,2018,F,15 to 49 years old,5.7,3.6,8.8,E
226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,2018,F,15 to 49 years old,28.7,16.1,45.5,E
233,Estonia,EST,25.840934753418,58.684871673584,Europe and Northern America,2018,F,15 to 49 years old,4.2,1.9,8.9,E
748,Eswatini,SWZ,31.5014934539795,-26.5647106170654,Sub-Saharan Africa,2018,F,15 to 49 years old,17.7,9.8,29.7,E
231,Ethiopia,ETH,39.6350517272949,8.63122272491455,Sub-Saharan Africa,2018,F,15 to 49 years old,26.5,17.1,38.4,E
242,Fiji,FJI,177.966094970703,-17.8330154418945,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,23.2,12.9,38.5,E
246,Finland,FIN,23.3084468841553,61.9158668518066,Europe and Northern America,2018,F,15 to 49 years old,8.1,5.8,11.3,E
250,France,FRA,2.45728802680969,46.6266098022461,Europe and Northern America,2018,F,15 to 49 years old,5.0,2.5,10.0,E
266,Gabon,GAB,11.7872772216797,-0.606876194477081,Sub-Saharan Africa,2018,F,15 to 49 years old,22.0,12.2,36.3,E
428,Latvia,LVA,26.4246196746826,56.6419677734375,Europe and Northern America,2018,F,15 to 49 years old,6.3,3.0,12.5,E
426,Lesotho,LSO,28.2536220550537,-29.5804176330566,Sub-Saharan Africa,2018,F,15 to 49 years old,16.5,8.3,29.9,E
430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,2018,F,15 to 49 years old,26.9,16.8,40.1,E
440,Lithuania,LTU,23.9051780700684,55.3368034362793,Europe and Northern America,2018,F,15 to 49 years old,5.2,2.5,10.6,E
