,Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Regeion,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
89,132,Cabo Verde,CPV,-23.635440826416,15.0779180526733,Sub-Saharan Africa,2018,F,15 to 49 years old,10.9,6.4,17.9,E
90,604,Peru,PER,-71.820930480957,-13.5893974304199,Latin America and the Caribbean,2018,F,15 to 49 years old,11.1,8.0,15.0,E
91,854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,2018,F,15 to 49 years old,11.2,6.0,20.2,E
92,524,Nepal,NPL,83.9467849731445,28.2586631774902,Central and Southern Asia,2018,F,15 to 49 years old,11.4,6.7,18.7,E
93,496,Mongolia,MNG,103.072807312012,46.8389205932617,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,11.5,6.4,20.1,E
94,170,Colombia,COL,-73.0744705200195,3.88820910453796,Latin America and the Caribbean,2018,F,15 to 49 years old,11.9,6.3,21.1,E
95,792,Türkiye,TUR,35.4289016723633,38.9899673461914,Northern Africa and Western Asia,2018,F,15 to 49 years old,12.1,7.6,19.1,E
96,332,Haiti,HTI,-72.3364105224609,18.4042644500732,Latin America and the Caribbean,2018,F,15 to 49 years old,12.2,8.0,17.9,E
97,686,Senegal,SEN,-14.4663696289063,14.359209060669,Sub-Saharan Africa,2018,F,15 to 49 years old,12.4,6.9,21.2,E
98,768,Togo,TGO,0.978357672691345,8.53209590911865,Sub-Saharan Africa,2018,F,15 to 49 years old,12.7,7.0,22.1,E
99,562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,2018,F,15 to 49 years old,12.9,7.8,20.7,E
100,710,South Africa,ZAF,24.6718444824219,-29.9995746612549,Sub-Saharan Africa,2018,F,15 to 49 years old,13.1,7.1,22.6,E
101,566,Nigeria,NGA,8.09736347198486,9.58578872680664,Sub-Saharan Africa,2018,F,15 to 49 years old,13.2,8.8,19.5,E
102,417,Kyrgyzstan,KGZ,74.5232467651367,41.462043762207,Central and Southern Asia,2018,F,15 to 49 years old,13.3,7.0,23.8,E
103,400,Jordan,JOR,37.1302490234375,30.6536598205566,Northern Africa and Western Asia,2018,F,15 to 49 years old,13.5,8.7,20.3,E
106,762,Tajikistan,TJK,69.2949981689453,38.4306983947754,Central and Southern Asia,2018,F,15 to 49 years old,14.0,8.6,22.0,E
107,204,Benin,BEN,2.33993363380432,9.65401649475098,Sub-Saharan Africa,2018,F,15 to 49 years old,14.6,8.3,24.3,E
108,818,Egypt,EGY,29.7746849060059,26.5743827819824,Northern Africa and Western Asia,2018,F,15 to 49 years old,15.1,9.9,22.6,E
109,516,Namibia,NAM,17.2190780639648,-22.1381702423096,Sub-Saharan Africa,2018,F,15 to 49 years old,15.9,9.6,25.1,E
110,586,Pakistan,PAK,68.8047943115234,29.3649158477783,Central and Southern Asia,2018,F,15 to 49 years old,16.2,10.0,25.1,E
111,148,Chad,TCD,18.6661834716797,15.36279296875,Sub-Saharan Africa,2018,F,15 to 49 years old,16.2,9.2,27.0,E
112,384,Côte d'Ivoire,CIV,-5.55269002914429,7.62211608886719,Sub-Saharan Africa,2018,F,15 to 49 years old,16.4,9.1,27.7,E
113,508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,2018,F,15 to 49 years old,16.4,10.9,23.9,E
